,time,code,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,vwap
21,2020-02-10,300750.XSHE,161.31,165.58,160.31,168.91,37468420.0,6161572536.54,1.001935,176.56,144.46,164.45,160.51,0.0,164.44708734822552
22,2020-02-11,300750.XSHE,167.52,158.71,157.9,168.33,33928907.0,5451183356.85,1.001935,182.14,149.02,160.67,165.58,0.0,160.66486777337096
23,2020-02-12,300750.XSHE,153.85,159.96,152.32,162.15,32523273.0,5174595055.65,1.001935,174.58,142.84,159.1,158.71,0.0,159.10437598485242
24,2020-02-13,300750.XSHE,156.29,156.64,153.99,159.69,31300394.0,4914616428.0,1.001935,175.96,143.97,157.01,159.96,0.0,157.01452282038366
25,2020-02-14,300750.XSHE,159.21,150.19,149.15,160.21,43876951.0,6739413554.76,1.001935,172.3,140.98,153.6,156.64,0.0,153.59803726471333
26,2020-02-17,300750.XSHE,149.29,154.4,149.17,156.46,34380607.0,5309578996.44,1.001935,165.21,135.17,154.44,150.19,0.0,154.43528953517313
27,2020-02-18,300750.XSHE,154.4,156.92,153.15,159.31,28175992.0,4400767113.91,1.001935,169.84,138.96,156.19,154.4,0.0,156.18854214289954
28,2020-02-19,300750.XSHE,165.32,153.5,153.19,165.42,41736024.0,6598898913.78,1.001935,172.61,141.23,158.11,156.92,0.0,158.11038717487799
29,2020-02-20,300750.XSHE,156.8,160.31,153.3,165.32,51743896.0,8254242623.04,1.001935,168.85,138.15,159.52,153.5,0.0,159.52108869111828
30,2020-02-21,300750.XSHE,158.11,160.21,155.52,162.81,33739850.0,5376640660.24,1.001935,176.34,144.28,159.36,160.31,0.0,159.35579619470744
31,2020-02-24,300750.XSHE,157.3,154.71,152.78,160.16,36452545.0,5670550935.39,1.001935,176.23,144.19,155.56,160.21,0.0,155.55980893487686
32,2020-02-25,300750.XSHE,150.03,162.16,149.13,165.82,51502972.0,8116792624.55,1.001935,170.18,139.24,157.6,154.71,0.0,157.59852896547406
33,2020-02-26,300750.XSHE,159.01,153.16,150.99,161.16,33762655.0,5273485008.97,1.001935,178.38,145.95,156.19,162.16,0.0,156.19284114267674
34,2020-02-27,300750.XSHE,155.4,149.77,149.09,156.96,33136127.0,5062343300.33,1.001935,168.48,137.84,152.77,153.16,0.0,152.7741398483293
35,2020-02-28,300750.XSHE,140.26,135.93,135.77,145.28,50746524.0,7090643685.99,1.001935,164.75,134.79,139.73,149.77,0.0,139.72668721093095
36,2020-03-02,300750.XSHE,139.07,140.26,135.21,142.22,31753559.0,4426474527.31,1.001935,149.53,122.34,139.4,135.93,0.0,139.4008944732778
37,2020-03-03,300750.XSHE,146.28,146.06,144.18,149.98,29633720.0,4366384638.63,1.001935,154.29,126.23,147.35,140.26,0.0,147.3451405571086
38,2020-03-04,300750.XSHE,144.27,143.98,140.05,146.16,20554840.0,2945905656.09,1.001935,160.67,131.45,143.32,146.06,0.0,143.31931827686327
39,2020-03-05,300750.XSHE,146.82,145.5,142.27,148.12,22419945.0,3254884224.32,1.001935,158.38,129.58,145.18,143.98,0.0,145.17806463485974
40,2020-03-06,300750.XSHE,142.28,143.8,141.77,147.59,15950006.0,2309879439.45,1.001935,160.05,130.95,144.82,145.5,0.0,144.81997307399132
41,2020-03-09,300750.XSHE,139.26,133.71,133.26,141.17,29368457.0,4022533011.76,1.001935,158.18,129.42,136.97,143.8,0.0,136.9678022839266
42,2020-03-10,300750.XSHE,133.87,140.8,133.27,141.96,29217933.0,4026499803.83,1.001935,147.08,120.34,137.81,133.71,0.0,137.80919423115932
43,2020-03-11,300750.XSHE,143.28,141.05,139.07,148.87,33857692.0,4857506589.47,1.001935,154.88,126.72,143.47,140.8,0.0,143.4683317891249
44,2020-03-12,300750.XSHE,136.46,134.46,131.57,137.03,33321282.0,4454589854.6,1.001935,155.16,126.95,133.69,141.05,0.0,133.6860284847384
45,2020-03-13,300750.XSHE,126.34,132.36,126.25,134.06,27402261.0,3557983786.6,1.001935,147.91,121.01,129.84,134.46,0.0,129.8427084757714
46,2020-03-16,300750.XSHE,128.25,119.29,119.12,129.13,48953759.0,5992811655.68,1.001935,145.59,119.12,122.42,132.36,0.0,122.41780361912555
47,2020-03-17,300750.XSHE,121.23,118.18,111.47,123.17,39144583.0,4571660103.94,1.001935,131.22,107.36,116.79,119.29,0.0,116.78908685628353
48,2020-03-18,300750.XSHE,119.13,117.58,116.22,123.74,31277853.0,3757216350.32,1.001935,130.0,106.37,120.12,118.18,0.0,120.12385729672687
49,2020-03-19,300750.XSHE,119.23,115.26,111.91,119.73,33092273.0,3803916536.71,1.001935,129.34,105.82,114.95,117.58,0.0,114.94878386594961
50,2020-03-20,300750.XSHE,118.23,116.08,113.44,119.93,22470739.0,2615607081.53,1.001935,126.78,103.74,116.4,115.26,0.0,116.40058128617845
51,2020-03-23,300750.XSHE,111.01,107.69,105.21,111.79,30702400.0,3324031004.28,1.001935,127.7,104.47,108.27,116.08,0.0,108.2661617424045
52,2020-03-24,300750.XSHE,110.81,111.79,107.21,113.1,29060763.0,3222263478.77,1.001935,118.46,96.92,110.88,107.69,0.0,110.88020912492904
53,2020-03-25,300750.XSHE,116.42,121.23,116.22,122.42,38518313.0,4603104636.27,1.001935,122.97,100.6,119.5,111.79,0.0,119.50431568147859
54,2020-03-26,300750.XSHE,119.24,119.86,118.53,122.59,19399552.0,2344662560.14,1.001935,133.36,109.11,120.86,121.23,0.0,120.86168588532352
55,2020-03-27,300750.XSHE,122.45,118.94,117.59,123.57,17465282.0,2101160340.25,1.001935,131.84,107.88,120.31,119.86,0.0,120.30497648134167
